employeeNumber,firstName,lastName,email,jobTitle
1002,Diane,Murphy,dmurphy@classicmodelcars.com,President
1056,Mary,Patterson,mpatterso@classicmodelcars.com,"VP Sales"
1076,Jeff,Firrelli,jfirrelli@classicmodelcars.com,"VP Marketing"
1088,William,Patterson,wpatterson@classicmodelcars.com,"Sales Manager (APAC)"
1102,Gerard,Bondur,gbondur@classicmodelcars.com,"Sale Manager (EMEA)"
1143,Anthony,Bow,abow@classicmodelcars.com,"Sales Manager (NA)"
1165,Leslie,Jennings,ljennings@classicmodelcars.com,"Sales Rep"
1166,Leslie,Thompson,lthompson@classicmodelcars.com,"Sales Rep"
1188,Julie,Firrelli,jfirrelli@classicmodelcars.com,"Sales Rep"
1216,Steve,Patterson,spatterson@classicmodelcars.com,"Sales Rep"
1286,"Foon Yue",Tseng,ftseng@classicmodelcars.com,"Sales Rep"
1323,George,Vanauf,gvanauf@classicmodelcars.com,"Sales Rep"
1337,Loui,Bondur,lbondur@classicmodelcars.com,"Sales Rep"
1370,Gerard,Hernandez,ghernande@classicmodelcars.com,"Sales Rep"
1401,Pamela,Castillo,pcastillo@classicmodelcars.com,"Sales Rep"
1501,Larry,Bott,lbott@classicmodelcars.com,"Sales Rep"
1504,Barry,Jones,bjones@classicmodelcars.com,"Sales Rep"
1611,Andy,Fixter,afixter@classicmodelcars.com,"Sales Rep"
1612,Peter,Marsh,pmarsh@classicmodelcars.com,"Sales Rep"
1619,Tom,King,tking@classicmodelcars.com,"Sales Rep"
1621,Mami,Nishi,mnishi@classicmodelcars.com,"Sales Rep"
1625,Yoshimi,Kato,ykato@classicmodelcars.com,"Sales Rep"
1702,Martin,Gerard,mgerard@classicmodelcars.com,"Sales Rep"
